variant,intensity,target,n_seeds,rescue_mean,rescue_sd,positive_seeds,anchor_mae,corrected_mae,nn_delta_mae,abs_gain_vs_xgb_diff,pct_gain_vs_xgb_diff,nominal_anchor_mae,nominal_final_mae,nominal_penalty_rel,overall_anchor_mae,overall_final_mae,overall_abs_gain,overall_pct_gain,gate_applied_rate,safety_pass_rate,rescue_ci_lo,rescue_ci_hi,ci_method
Ordinary Residual Target,0.15,electric conductivity,5,0.0,0.0,0,16.44114334304905,16.44114334304905,16.44114334304905,0.0,0.0,2.5417948444678755,2.5417948444678755,0.0,16.312445671765893,16.312445671765893,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.15,ph,5,0.0,0.0,0,0.5849868839379386,0.5849868839379386,0.5849868839379386,0.0,0.0,0.07422739695758121,0.07422739695758121,0.0,0.5802576294288613,0.5802576294288613,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.15,temperature,5,0.0,0.0,0,1.6902684176694371,1.6902684176694371,1.6902684176694371,0.0,0.0,0.0498087007551255,0.0498087007551255,0.0,1.6750789758461564,1.6750789758461564,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.2,dissolved oxygen,5,0.0,0.0,0,0.6137926780658777,0.6137926780658777,0.6137926780658777,0.0,0.0,0.05501096639782188,0.05501096639782188,0.0,0.6086187733282105,0.6086187733282105,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.2,electric conductivity,5,0.0,0.0,0,23.17005392219017,23.17005392219017,23.17005392219017,0.0,0.0,1.1582048922773822,1.1582048922773822,0.0,22.96624050524653,22.96624050524653,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.2,ph,5,0.0,0.0,0,0.7958471537957175,0.7958471537957175,0.7958471537957175,0.0,0.0,0.10378135141606956,0.10378135141606956,0.0,0.7894391371070171,0.7894391371070171,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.2,temperature,5,0.0,0.0,0,2.2658672024667,2.2658672024667,2.2658672024667,0.0,0.0,0.057917301356754734,0.057917301356754734,0.0,2.245423221900867,2.245423221900867,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.25,dissolved oxygen,5,0.0,0.0,0,0.6542956244826671,0.6542956244826671,0.6542956244826671,0.0,0.0,0.03122904952615494,0.03122904952615494,0.0,0.6485264895293661,0.6485264895293661,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.25,electric conductivity,5,0.0,0.0,0,28.789379383381437,28.789379383381437,28.789379383381437,0.0,0.0,1.517518246670005,1.517518246670005,0.0,28.536862150634107,28.536862150634107,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.25,ph,5,0.0,0.0,0,1.0173323885476901,1.0173323885476901,1.0173323885476901,0.0,0.0,0.09036575305897328,0.09036575305897328,0.0,1.008749364145017,1.008749364145017,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
Ordinary Residual Target,0.25,temperature,5,0.0,0.0,0,2.725576976793045,2.725576976793045,2.725576976793045,0.0,0.0,0.02350969389069698,0.02350969389069698,0.0,2.70055783528469,2.70055783528469,0.0,0.0,0.0,0.0,0.0,0.0,"two-sided Student-t, df=n_seeds-1"
